cities,latitude,longitude,main_weather_7days,rain_amount_7days,temp_7days,clouds_7days,quality
Collioure,42.52505,3.0831554,Clouds,0,22,56,30.0
Toulouse,43.6044622,1.4442469,Clouds,0,22,67,27.25
Carcassonne,43.2130358,2.3491069,Clouds,1,22,69,24.75
Montauban,44.0175835,1.3549991,Clouds,2,22,62,24.5
La Rochelle,46.1591126,-1.1520434,Clouds,1,18,72,16.0
Ariege,42.9455368,1.4065544156065486,Rain,3,17,62,12.5
Bayonne,43.4945144,-1.4736657,Clouds,11,21,62,4.5
Amiens,49.8941708,2.2956951,Clouds,4,16,86,2.5
Colmar,48.0777517,7.3579641,Rain,7,18,78,2.5
Strasbourg,48.584614,7.7507127,Rain,7,17,72,2.0
Lille,50.6365654,3.0635282,Clouds,6,16,77,0.75
Aix en Provence,43.5298424,5.4474738,Clouds,14,22,61,0.75
Biarritz,43.47114375,-1.552726590666314,Clear,12,20,61,0.75
Eguisheim,48.0447968,7.3079618,Rain,8,18,79,0.25
Aigues Mortes,43.5658225,4.1912837,Clouds,12,21,71,0.25
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,Rain,6,15,76,-1.0
Marseille,43.2961743,5.3699525,Clouds,14,21,60,-1.0
Cassis,43.2140359,5.5396318,Clouds,15,21,64,-4.0
Saintes Maries de la mer,43.4522771,4.4287172,Clouds,13,20,72,-4.0
Rouen,49.4404591,1.0939658,Rain,9,16,74,-4.5
Nimes,43.8374249,4.3600687,Clouds,16,22,70,-5.5
Grenoble,45.1875602,5.7357819,Rain,16,21,63,-5.75
Paris,48.8588897,2.3200410217200766,Rain,12,17,76,-9.0
Uzes,44.0121279,4.4196718,Clouds,20,22,65,-12.25
Le Havre,49.4938975,0.1079732,Rain,16,15,71,-19.75
Gorges du Verdon,43.7496562,6.3285616,Clouds,21,18,68,-23.0
Avignon,43.9492493,4.8059012,Clouds,26,22,72,-26.0
Bayeux,49.2764624,-0.7024738,Rain,22,16,70,-29.5
Annecy,45.8992348,6.1288847,Clouds,25,18,71,-31.75
Dijon,47.3215806,5.0414701,Rain,27,18,81,-38.25
Lyon,45.7578137,4.8320114,Rain,32,19,63,-41.75
Bormes les Mimosas,43.1506968,6.3419285,Clouds,36,21,59,-44.75
Besancon,47.2380222,6.0243622,Rain,32,18,82,-48.5
St Malo,48.649518,-2.0260409,Rain,32,16,66,-48.5
Mont Saint Michel,48.6359541,-1.511459954959514,Rain,36,16,71,-57.75
